lexemeCurrentNode	lineno	token			valueIfNumber		parentNodeSymbol	isLeafNode(yes/no)	NodeSymbol
)                   	36	TK_CL               	----      	<ioStmt>                      	Yes		----                          	
;                   	36	TK_SEM              	----      	<ioStmt>                      	Yes		----                          	
----                	--	----                	----      	<otherStmts>                  	No 		<otherStmts>                  	
----                	--	----                	----      	<otherStmts>                  	No 		<stmt>                        	
----                	--	----                	----      	<stmt>                        	No 		<ioStmt>                      	
write               	36	TK_WRITE            	----      	<ioStmt>                      	Yes		----                          	
(                   	36	TK_OP               	----      	<ioStmt>                      	Yes		----                          	
----                	--	----                	----      	<ioStmt>                      	No 		<allVar>                      	
#d                  	36	TK_RECORDID         	----      	<allVar>                      	Yes		----                          	
.                   	36	TK_DOT              	----      	<allVar>                      	Yes		----                          	
physics             	36	TK_FIELDID          	----      	<allVar>                      	Yes		----                          	
)                   	36	TK_CL               	----      	<ioStmt>                      	Yes		----                          	
;                   	36	TK_SEM              	----      	<ioStmt>                      	Yes		----                          	
----                	--	----                	----      	<otherStmts>                  	No 		<otherStmts>                  	
----                	--	----                	----      	<otherStmts>                  	No 		<stmt>                        	
----                	--	----                	----      	<stmt>                        	No 		<ioStmt>                      	
write               	36	TK_WRITE            	----      	<ioStmt>                      	Yes		----                          	
(                   	36	TK_OP               	----      	<ioStmt>                      	Yes		----                          	
----                	--	----                	----      	<ioStmt>                      	No 		<allVar>                      	
#d                  	36	TK_RECORDID         	----      	<allVar>                      	Yes		----                          	
